src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.5,192.168.10.111,67,68,17,2022-09-12 10:43:09,19650482.654571533,3182.6190277036553,5.394269538480772,5.394269538480772,0.0,106,0,62540,0,590.0,590.0,590.0,0.0,0.0,0.0,0.0,0.0,590,590,590.0,0.0,0.0,848,0,8,106,187147.4538530622,4025871.753692627,105052.47116088867,381455.27378899057,19650482.654571533,4025871.753692627,105052.47116088867,187147.4538530622,381455.27378899057,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,590.0,0,0,3889265.0604248047,1338.958740234375,179261.91366635836,742340.4135861859,3882254.6005249023,5163.431167602539,119237.71245138986,588306.7134398714,29044.0,53.0,0.0,0.0,3717.7245800554606,0.0,590.0,0.0,0,106,0,62540,0
192.168.10.111,255.255.255.255,68,67,17,2022-09-12 10:43:09,19688216.68624878,1858.675195583308,5.43472279410324,5.43472279410324,0.0,107,0,36594,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,856,0,8,107,185737.8932664979,3854250.66947937,103954.07676696777,363270.76390251284,19688216.68624878,3854250.66947937,103954.07676696777,185737.8932664979,363270.76390251284,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,3710295.2003479004,3873.109817504883,158945.8386103312,660898.4291977616,3706251.621246338,7906.436920166016,106797.11984551471,537359.4800405398,16050.0,53.5,0.0,0.0,2027.287412768449,0.0,342.0,0.0,0,107,0,36594,0
192.168.10.111,239.255.255.250,40187,1900,17,2022-09-12 10:43:09,3002983.808517456,278.38977940168286,1.33200851388365,1.33200851388365,0.0,4,0,836,0,209.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,209,209,209.0,0.0,0.0,32,0,8,4,1000994.602839152,1001213.0737304688,1000821.590423584,163.0227993367883,3002983.808517456,1001213.0737304688,1000821.590423584,1000994.602839152,163.0227993367883,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,209.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0,4,0,836,0
192.168.10.102,224.0.0.251,5353,5353,17,2022-09-12 10:43:10,0.0,0,0,0,0,1,0,503,0,503.0,503.0,503.0,0.0,0.0,0.0,0.0,0.0,503,503,503.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,503.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0,1,0,503,0
192.168.10.17,192.168.10.111,58035,1883,6,2022-09-12 10:43:12,87.738037109375,1230937.043478261,22795.130434782608,11397.565217391304,11397.565217391304,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,5739,64191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.10.17,192.168.10.111,58036,1883,6,2022-09-12 10:43:12,5778182.506561279,104.0119448144029,1.730648000239649,0.8653240001198245,0.8653240001198245,5,5,323,278,81.0,54.0,64.6,11.551623262554921,58.0,54.0,55.6,1.9595917942265426,81,54,60.1,9.428149341201593,88.89000000000001,100,100,20,2,642020.2785068088,5696026.32522583,70.81031799316406,1786932.214095421,5778182.506561279,5749161.005020142,4872.798919677734,1444545.6266403198,2485272.9991456294,5725042.581558228,5696026.32522583,150.20370483398438,1431260.645389557,2462280.081300779,0,0,0,0,1,0,0,0,0,0,0,1.0,60.1,5744,64191,9891.986846923828,81.06231689453125,4986.52458190918,4905.462265014648,5695950.508117676,9886.741638183594,2852918.6248779297,2843031.883239746,0.0,0.0,0.0,0.0,0.0,0.0,64.6,55.6,0,5,5,323,278
192.168.10.16,192.168.10.111,62798,1883,6,2022-09-12 10:43:18,86.78436279296875,1244463.8241758242,23045.626373626375,11522.813186813188,11522.813186813188,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,5739,64191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.10.16,192.168.10.111,62799,1883,6,2022-09-12 10:43:18,12403.726577758789,39746.11959634791,644.9674579529072,322.4837289764536,322.4837289764536,4,4,269,224,81.0,54.0,67.25,11.4755174175285,58.0,54.0,56.0,2.0,81,54,61.625,9.974185430399817,99.484375,80,80,20,2,1771.960939679827,6650.686264038086,70.09506225585938,2352.021593118882,12309.551239013672,7134.437561035156,1277.4467468261719,4103.183746337891,2395.5184853423157,12333.63151550293,6744.861602783203,412.7025604248047,4111.2105051676435,2692.52045650981,0,0,0,0,1,0,0,0,0,0,0,1.0,61.625,5744,64191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.25,56.0,0,4,4,269,224
